Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.5984048568593416,55.462259147958285,0.678776805031052,79.06539991162174
2,0.7686783831743716,75.78663602616227,0.45626134752331715,85.80424215642952
3,0.6030982108910176,80.86441576807495,0.359762716335477,88.46663720724702
4,0.5060822830850082,83.91152554357433,0.31684575526523634,90.16791869200176
5,0.434327824552594,86.08582287431501,0.2530513348381339,92.11224038886434
6,0.37271540070541004,88.24244299098461,0.21346362415162853,93.2832523199293
7,0.3366134539075342,89.01140180307584,0.21644171500859194,93.73619089703932
8,0.2956243758964859,90.29962877850451,0.23089568231993948,93.15068493150685
9,0.28171714239213624,90.85425136998408,0.23617906418723233,93.36058329650906
10,0.2543430280401995,91.6762418242885,0.19521517874496044,94.84091913389307
11,0.24476029651839762,91.95244829414884,0.16814292012538945,95.3822359699514
12,0.2226428232898724,92.74571327558776,0.17353295432457183,95.40433053468847
13,0.21442864070316708,92.92911437157504,0.15803676777137785,95.82412726469289
14,0.1985595453137409,93.38872193742266,0.17108784039832825,95.8572691117985
15,0.19094756048054837,93.94776383242001,0.16120725729220006,96.23287671232876
16,0.17616981215510286,94.18861587413824,0.14747689377929699,96.23287671232876
17,0.16739185936505327,94.53111189676507,0.14132356876116436,96.63057887759611
18,0.1668606491445631,94.51785398621178,0.1560479450807917,96.37649138311976
19,0.1564546737445208,94.92001060632845,0.1550742064759471,96.31020768890853
20,0.15037613453609228,94.88023687466855,0.18817919025866794,95.92355280600972
