model,runs,joint_accuracy_mean,joint_accuracy_sd,joint_macro_f1_mean,joint_macro_f1_sd,unconstrained_legal_rate_mean,parameters,checkpoint_mb,training_minutes_mean,batch1_p50_ms_mean,batch1_p95_ms_mean
InceptionV3 38-class,3,0.7649820491576912,0.03582891526873485,0.751181080401203,0.04388101425692812,1.0,21863430,83.73670101165771,22.870480008650986,5.355186166666667,5.597201416666667
InceptionV3 plain multi-output,3,0.8525821596244132,0.009519225797246884,0.8573233983071206,0.024111480721935186,0.9844794255730461,21857283,83.7138147354126,22.741559557409754,5.385606,5.573657116666666
GSMo ImageNet,3,0.835901684617509,0.06210158216300836,0.8329363051875709,0.058096830477537734,0.9848660590996962,21929586,83.99073505401611,22.669241503005228,5.48733,5.71466705
PlantXViT-style reproduction,3,0.9818834576083955,0.0019061512208492007,0.98133376368127,0.0009705095097064504,1.0,607814,2.3474016189575195,16.319225816076827,0.9705031666666667,1.0131985833333332
GSMo no pretraining,3,0.9882352941176471,0.0022415491729028928,0.9871120833648405,0.00257990983057182,0.9989505661419497,21929586,83.99073505401611,22.772323681993615,5.503073833333334,5.604771100000001
GSMo equal loss,3,0.9025683512841756,0.03990896041160085,0.9034054586774447,0.03278135769540732,0.9912178956089478,21929586,83.99073505401611,22.75556782943507,5.475692166666666,5.62221955
