model,balanced_accuracy,balanced_macro_f1,old_accuracy,old_macro_f1,accuracy_delta,macro_f1_delta
InceptionV3 38-class,0.7649820491576912,0.751181080401203,0.87238426,0.85863831,-0.10740221084230883,-0.107457229598797
InceptionV3 plain multi-output,0.8525821596244132,0.8573233983071206,0.9063573,0.89706692,-0.05377514037558684,-0.039743521692879424
GSMo ImageNet,0.835901684617509,0.8329363051875709,0.86107196,0.85722384,-0.025170275382490948,-0.024287534812429068
PlantXViT-style reproduction,0.9818834576083955,0.98133376368127,0.9863385,0.98428458,-0.004455042391604547,-0.002950816318729954
GSMo no pretraining,0.9882352941176471,0.9871120833648405,0.98814558,0.98572978,8.971411764713277e-05,0.0013823033648404648
GSMo equal loss,0.9025683512841756,0.9034054586774447,0.83024323,0.83181229,0.07232512128417556,0.0715931686774447
